remote_unit_id,time_stamp,entries,exits,num_people_exited,sum_exit_entry,week_num,z_score_num_people_exited,z_score_sum_exit_entry
86,1546311600,102,95,-7,197,1,-0.27677263635276067,-0.8635952990826228
86,1546326000,26,32,6,58,1,-0.22988530794798023,-1.075849303041885
86,1546340400,28,165,137,193,1,0.24259469366942252,-0.8697033279735369
86,1546354800,331,583,252,914,1,0.6573672141732494,0.23126887961371467
86,1546369200,839,616,-223,1455,1,-1.0558236313860354,1.0573797871098354
86,1546383600,379,184,-195,563,1,-0.9548355394372775,-0.3047106555639903
86,1546398000,26,20,-6,46,1,-0.27316591878316215,-1.0941733897146269
86,1546412400,8,48,40,56,1,-0.10725691058163142,-1.078903317487342
86,1546426800,150,706,556,856,1,1.7538093553311915,0.1427024606954614
86,1546441200,440,754,314,1194,1,0.880983703488356,0.6588309019776958
86,1546455600,991,892,-99,1883,1,-0.6085906527558221,1.7109388784376351
86,1546470000,461,185,-276,646,1,-1.2469796625747556,-0.17796905607752445
86,1546484400,54,43,-11,97,1,-0.2911995066311546,-1.0162960213554733
86,1546498800,11,79,68,90,1,-0.006268818632873583,-1.0269850719145728
86,1546513200,185,763,578,948,1,1.8331571418623585,0.2831871251864838
86,1546527600,427,763,336,1190,1,0.9603314900195229,0.6527228730867818
86,1546542000,1063,956,-107,2019,1,-0.63744439331261,1.9186118607287117
86,1546556400,516,235,-281,751,1,-1.265013250422748,-0.01763329769103152
86,1546570800,57,26,-31,83,1,-0.3633338580231245,-1.0376741224736723
86,1546585200,14,54,40,68,1,-0.10725691058163142,-1.0605792308145998
86,1546599600,173,776,603,949,1,1.923325081102321,0.2847141324092123
86,1546614000,433,768,335,1201,1,0.9567247724499244,0.6695199525367953
86,1546628400,1414,1047,-367,2461,1,-1.5751909614082185,2.5935490531747107
86,1546642800,622,263,-359,885,1,-1.5463372208514305,0.18698567015458803
86,1546657200,90,59,-31,149,1,-0.3633338580231245,-0.9368916457735911
86,1546671600,13,46,33,59,1,-0.13250393356882087,-1.0743222958191565
86,1546686000,60,379,319,439,1,0.8990172913363484,-0.4940595511823248
86,1546700400,399,958,559,1357,1,1.764629508039987,0.907733079282442
86,1546714800,1165,916,-249,2081,1,-1.1495982881955962,2.013286308537879
